production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality,qc_score,score_error,in_winner_counter,in_qc_counter,qc_capability
27.0,1.0,wc_1,,0.0,,,80.0,,,,,Fail,,,,,
27.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
27.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.6400000000000005)]",0.6400000000000005,,,30.0,0.002423,['Fail'],Fail,0.6400000000000005,0.35999999999999954,2.0,2.0,0.7
27.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
27.0,1.0,wc_1,wc_3,0.0,"[('wc_1', 0.6400000000000005)]",0.6400000000000005,,,26.0,0.004402,['Fail'],Fail,0.3400000000000002,-0.24000000000000019,0.0,0.0,0.2
27.0,1.0,wc_1,,0.0,,,,141.0,,,,Fail,,,,,
27.0,1.0,wc_1,wc_12,0.0,"[('wc_1', 0.6400000000000005)]",0.6400000000000005,,,35.0,0.006764000000000001,['Fail'],Fail,0.27000000000000013,-0.27000000000000013,0.0,5.0,0.1
27.0,1.0,wc_1,,0.0,,,,361.0,,,,Fail,,,,,
27.0,1.0,wc_1,wc_11,0.0,"[('wc_11', 0.29000000000000015), ('wc_3', 0.3400000000000002), ('wc_12', 0.27000000000000013)]",0.6579220000000002,,,39.0,0.007847999999999999,['Pass'],Fail,0.29000000000000015,-0.29000000000000015,0.0,3.0,0.3
27.0,1.0,wc_1,,0.0,,,,362.0,,,,Fail,,,,,
27.0,1.0,wc_1,wc_5,0.0,"[('wc_5', 0.5800000000000004), ('wc_1', 0.6400000000000005)]",0.8488000000000003,,,26.0,0.010155,['Fail'],Fail,0.5800000000000004,-0.18000000000000038,0.0,0.0,0.5
27.0,1.0,wc_1,,0.0,,,,141.0,,,,Fail,,,,,
27.0,1.0,wc_1,wc_14,0.0,"[('wc_1', 0.6400000000000005), ('wc_5', 0.5800000000000004)]",0.8488000000000003,,,27.0,0.01198,['Fail'],Fail,0.3300000000000002,-0.10777777777777797,2.0,9.0,0.2
27.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
27.0,1.0,wc_1,wc_17,1.0,"[('wc_17', 0.7800000000000006), ('wc_1', 0.6400000000000005), ('wc_5', 0.5800000000000004)]",0.9667360000000002,,,21.0,0.052111000000000005,['Fail'],Fail,0.7900000000000006,0.2099999999999994,2.0,2.0,0.9
128.0,1.0,wc_1,,0.0,,,,243.0,,,,Fail,,,,,
128.0,1.0,wc_1,,0.0,,,50.0,,,,,Fail,,,,,
128.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
128.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.6500000000000005)]",0.6500000000000005,,,24.0,0.002175,['Fail'],Fail,0.6500000000000005,0.34999999999999953,3.0,3.0,0.7
