production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality,qc_score,score_error,in_winner_counter,in_qc_counter,qc_capability
4.0,1.0,wc_1,,0.0,,,63.0,,,,,Fail,,,,,
4.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 1.0)]",1.0,,,31.0,0.002988,['Pass'],Fail,1.0,-0.16666666666666663,5.0,6.0,0.7
4.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 1.0), ('wc_1', 1.0)]",2.0,,,28.0,0.005745,['Pass'],Fail,1.0,-0.5,3.0,6.0,0.1
4.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_3,0.0,"[('wc_3', 1.0), ('wc_1', 1.0), ('wc_2', 1.0)]",3.0,,,37.0,0.006621,['Pass'],Fail,1.0,-0.16666666666666663,5.0,6.0,0.1
4.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_4,0.0,"[('wc_4', 1.0), ('wc_1', 1.0), ('wc_2', 1.0), ('wc_3', 1.0)]",4.0,,,27.0,0.016178,['Pass'],Fail,1.0,0.0,6.0,6.0,0.7
4.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_5,0.0,"[('wc_5', 1.0), ('wc_1', 1.0), ('wc_2', 1.0), ('wc_3', 1.0), ('wc_4', 1.0)]",5.0,,,23.0,0.010695,['Pass'],Fail,1.0,0.0,6.0,6.0,0.8
4.0,1.0,wc_1,,0.0,,,,61.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_6,0.0,"[('wc_6', 1.0), ('wc_1', 1.0), ('wc_2', 1.0), ('wc_3', 1.0), ('wc_4', 1.0), ('wc_5', 1.0)]",6.0,,,21.0,0.011401000000000001,['Pass'],Fail,1.0,-0.6666666666666667,2.0,6.0,0.2
4.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_7,0.0,"[('wc_1', 1.0), ('wc_2', 1.0), ('wc_3', 1.0), ('wc_4', 1.0), ('wc_5', 1.0), ('wc_6', 1.0)]",6.0,,,35.0,0.018487000000000003,['Pass'],Fail,1.0,0.0,6.0,6.0,0.9
4.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_8,0.0,"[('wc_8', 1.0), ('wc_1', 1.0), ('wc_2', 1.0), ('wc_3', 1.0), ('wc_4', 1.0), ('wc_5', 1.0), ('wc_6', 1.0)]",7.0,,,36.0,0.01728,['Pass'],Fail,1.0,-0.33333333333333337,4.0,6.0,0.3
4.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_9,0.0,"[('wc_1', 1.0), ('wc_2', 1.0), ('wc_3', 1.0), ('wc_4', 1.0), ('wc_5', 1.0), ('wc_6', 1.0), ('wc_8', 1.0)]",7.0,,,37.0,0.022417999999999997,['Pass'],Fail,1.0,-0.33333333333333337,4.0,6.0,0.1
4.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_10,0.0,"[('wc_10', 1.0), ('wc_1', 1.0), ('wc_2', 1.0), ('wc_3', 1.0), ('wc_4', 1.0), ('wc_5', 1.0), ('wc_6', 1.0), ('wc_8', 1.0)]",8.0,,,23.0,0.019634000000000002,['Pass'],Fail,1.0,0.0,6.0,6.0,0.8
4.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_11,0.0,"[('wc_11', 1.0), ('wc_1', 1.0), ('wc_2', 1.0), ('wc_3', 1.0), ('wc_4', 1.0), ('wc_5', 1.0), ('wc_6', 1.0), ('wc_8', 1.0), ('wc_10', 1.0)]",9.0,,,25.0,0.020158,['Pass'],Fail,1.0,-0.16666666666666663,5.0,6.0,1.0
4.0,1.0,wc_1,,0.0,,,,61.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_12,0.0,"[('wc_1', 1.0), ('wc_2', 1.0), ('wc_3', 1.0), ('wc_4', 1.0), ('wc_5', 1.0), ('wc_6', 1.0), ('wc_8', 1.0), ('wc_10', 1.0), ('wc_11', 1.0)]",9.0,,,30.0,0.028766,['Pass'],Fail,1.0,0.0,6.0,6.0,1.0
4.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_13,0.0,"[('wc_13', 1.0), ('wc_1', 1.0), ('wc_2', 1.0), ('wc_3', 1.0), ('wc_4', 1.0), ('wc_5', 1.0), ('wc_6', 1.0), ('wc_8', 1.0), ('wc_10', 1.0), ('wc_11', 1.0)]",10.0,,,40.0,0.024725999999999998,['Pass'],Fail,1.0,-0.6666666666666667,2.0,6.0,0.1
4.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
4.0,1.0,wc_1,wc_14,0.0,"[('wc_14', 1.0), ('wc_1', 1.0), ('wc_2', 1.0), ('wc_3', 1.0), ('wc_4', 1.0), ('wc_5', 1.0), ('wc_6', 1.0), ('wc_8', 1.0), ('wc_10', 1.0), ('wc_11', 1.0), ('wc_13', 1.0)]",11.0,,,40.0,0.032082,['Pass'],Fail,1.0,-0.16666666666666663,5.0,6.0,0.5
4.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
