production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality,qc_score,score_error,in_winner_counter,in_qc_counter,qc_capability
10.0,1.0,wc_1,,0.0,,,70.0,,,,,Pass,,,,,
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
10.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.5)]",0.5,,,36.0,0.002443,['Pass'],Pass,0.5,-0.3181818181818182,0.0,0.0,0.5
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
10.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.2), ('wc_1', 0.5)]",0.6,,,40.0,0.004286,['Pass'],Pass,0.2,-0.10625000000000001,0.0,0.0,0.2
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
10.0,1.0,wc_1,wc_3,0.0,"[('wc_3', 0.2), ('wc_1', 0.5), ('wc_2', 0.2)]",0.6799999999999999,,,30.0,0.008532999999999999,['Pass'],Pass,0.2,-0.012500000000000011,0.0,0.0,0.2
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
10.0,1.0,wc_1,wc_4,0.0,"[('wc_1', 0.5), ('wc_2', 0.2), ('wc_3', 0.2)]",0.6799999999999999,,,21.0,0.007626,['Pass'],Pass,0.4,-0.15000000000000002,0.0,0.0,0.4
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
10.0,1.0,wc_1,wc_5,0.0,"[('wc_5', 0.4), ('wc_1', 0.5), ('wc_2', 0.2), ('wc_3', 0.2)]",0.808,,,34.0,0.009849,['Pass'],Pass,0.4,-0.21250000000000002,0.0,0.0,0.4
10.0,1.0,wc_1,,0.0,,,,61.0,,,,Pass,,,,,
10.0,1.0,wc_1,wc_6,0.0,"[('wc_1', 0.5), ('wc_2', 0.2), ('wc_3', 0.2), ('wc_5', 0.4)]",0.8079999999999999,,,20.0,0.011349999999999999,['Pass'],Pass,0.1,0.4714285714285714,4.0,7.0,0.1
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
10.0,1.0,wc_1,wc_7,1.0,"[('wc_7', 0.5), ('wc_1', 0.5), ('wc_2', 0.2), ('wc_3', 0.2), ('wc_5', 0.4)]",0.904,,,35.0,0.050372,['Pass'],Pass,0.5,0.30000000000000004,4.0,5.0,0.5
15.0,2.0,wc_2,,0.0,,,,202.0,,,,Fail,,,,,
15.0,2.0,wc_2,,0.0,,,76.0,,,,,Fail,,,,,
15.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
15.0,2.0,wc_2,wc_2,0.0,"[('wc_2', 0.2)]",0.19999999999999996,,,34.0,0.002268,['Pass'],Fail,0.2,0.8,1.0,1.0,0.2
15.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
15.0,2.0,wc_2,wc_3,0.0,"[('wc_3', 0.2), ('wc_2', 0.2)]",0.3599999999999999,,,28.0,0.0049689999999999995,['Pass'],Fail,0.2,0.8,1.0,1.0,0.2
15.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
15.0,2.0,wc_2,wc_4,0.0,"[('wc_4', 0.4)]",0.4,,,40.0,0.006483999999999999,['Fail'],Fail,0.4,-0.4,0.0,1.0,0.4
15.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
15.0,2.0,wc_2,wc_5,0.0,"[('wc_5', 0.4), ('wc_2', 0.2), ('wc_3', 0.2)]",0.616,,,31.0,0.008965,['Pass'],Fail,0.4,0.6,1.0,1.0,0.4
15.0,2.0,wc_2,,0.0,,,,41.0,,,,Fail,,,,,
15.0,2.0,wc_2,wc_1,0.0,"[('wc_1', 0.5), ('wc_4', 0.4)]",0.7,,,22.0,0.011862,['Fail'],Fail,0.5,0.5,1.0,1.0,0.5
15.0,2.0,wc_2,,0.0,,,,142.0,,,,Fail,,,,,
15.0,2.0,wc_2,wc_6,0.0,"[('wc_4', 0.4), ('wc_1', 0.5)]",0.7,,,20.0,0.018998,['Fail'],Fail,0.1,0.4,4.0,8.0,0.1
15.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
15.0,2.0,wc_2,wc_7,0.0,"[('wc_7', 0.5), ('wc_4', 0.4), ('wc_1', 0.5)]",0.85,,,25.0,0.013677,['Fail'],Fail,0.5,0.30000000000000004,4.0,5.0,0.5
15.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
15.0,2.0,wc_2,wc_8,0.0,"[('wc_4', 0.4), ('wc_1', 0.5), ('wc_7', 0.5)]",0.85,,,20.0,0.015026999999999999,['Fail'],Fail,0.1,0.30000000000000004,2.0,5.0,0.1
15.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
15.0,2.0,wc_2,wc_9,1.0,"[('wc_9', 0.4), ('wc_4', 0.4), ('wc_1', 0.5), ('wc_7', 0.5)]",0.91,,,26.0,0.046315,['Fail'],Fail,0.4,0.0,2.0,5.0,0.4
19.0,3.0,wc_3,,0.0,,,,362.0,,,,Pass,,,,,
19.0,3.0,wc_3,,0.0,,,60.0,,,,,Pass,,,,,
19.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass,,,,,
19.0,3.0,wc_3,wc_3,0.0,"[('wc_3', 0.2)]",0.19999999999999996,,,30.0,0.002232,['Pass'],Pass,0.2,0.3,1.0,2.0,0.2
19.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass,,,,,
19.0,3.0,wc_3,wc_4,0.0,"[('wc_4', 0.4), ('wc_3', 0.2)]",0.52,,,33.0,0.004199,['Pass'],Pass,0.4,0.09999999999999998,1.0,2.0,0.4
19.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass,,,,,
19.0,3.0,wc_3,wc_5,0.0,"[('wc_5', 0.4), ('wc_3', 0.2), ('wc_4', 0.4)]",0.712,,,24.0,0.005906,['Pass'],Pass,0.4,0.09999999999999998,1.0,2.0,0.4
19.0,3.0,wc_3,,0.0,,,,41.0,,,,Pass,,,,,
19.0,3.0,wc_3,wc_1,0.0,"[('wc_1', 0.5), ('wc_3', 0.2), ('wc_4', 0.4), ('wc_5', 0.4)]",0.856,,,21.0,0.007842,['Pass'],Pass,0.5,0.5,2.0,2.0,0.5
19.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass,,,,,
19.0,3.0,wc_3,wc_2,0.0,"[('wc_2', 0.2), ('wc_3', 0.2), ('wc_4', 0.4), ('wc_5', 0.4), ('wc_1', 0.5)]",0.8848,,,33.0,0.014403,['Pass'],Pass,0.2,0.3,1.0,2.0,0.2
19.0,3.0,wc_3,,0.0,,,,122.0,,,,Pass,,,,,
19.0,3.0,wc_3,wc_6,0.0,"[('wc_3', 0.2), ('wc_4', 0.4), ('wc_5', 0.4), ('wc_1', 0.5), ('wc_2', 0.2)]",0.8848,,,20.0,0.010912,['Pass'],Pass,0.1,0.34444444444444444,4.0,9.0,0.1
19.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass,,,,,
19.0,3.0,wc_3,wc_7,1.0,"[('wc_7', 0.5), ('wc_3', 0.2), ('wc_4', 0.4), ('wc_5', 0.4), ('wc_1', 0.5), ('wc_2', 0.2)]",0.9424,,,21.0,0.045958000000000006,['Pass'],Pass,0.5,0.3571428571428571,6.0,7.0,0.5
24.0,2.0,wc_2,,0.0,,,,202.0,,,,Fail,,,,,
24.0,2.0,wc_2,,0.0,,,65.0,,,,,Fail,,,,,
24.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
24.0,2.0,wc_2,wc_2,0.0,"[('wc_2', 0.2)]",0.19999999999999996,,,39.0,0.007757,['Fail'],Fail,0.2,0.4666666666666666,2.0,3.0,0.2
24.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
24.0,2.0,wc_2,wc_3,0.0,"[('wc_2', 0.2)]",0.19999999999999996,,,28.0,0.005307,['Fail'],Fail,0.2,0.4666666666666666,2.0,3.0,0.2
24.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
24.0,2.0,wc_2,wc_4,0.0,"[('wc_4', 0.4), ('wc_2', 0.2)]",0.52,,,30.0,0.013229,['Fail'],Fail,0.4,0.2666666666666666,2.0,3.0,0.4
24.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
24.0,2.0,wc_2,wc_5,0.0,"[('wc_2', 0.2), ('wc_4', 0.4)]",0.52,,,26.0,0.007437,['Fail'],Fail,0.4,0.2666666666666666,2.0,3.0,0.4
24.0,2.0,wc_2,,0.0,,,,41.0,,,,Fail,,,,,
24.0,2.0,wc_2,wc_1,0.0,"[('wc_1', 0.5), ('wc_3', 0.2), ('wc_5', 0.4)]",0.76,,,32.0,0.009812000000000001,['Pass'],Fail,0.5,0.5,3.0,3.0,0.5
24.0,2.0,wc_2,,0.0,,,,142.0,,,,Fail,,,,,
24.0,2.0,wc_2,wc_6,0.0,"[('wc_6', 0.1), ('wc_3', 0.2), ('wc_5', 0.4), ('wc_1', 0.5)]",0.784,,,40.0,0.011172000000000001,['Pass'],Fail,0.1,0.30000000000000004,0.0,0.0,0.1
24.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
24.0,2.0,wc_2,wc_7,0.0,"[('wc_7', 0.5), ('wc_3', 0.2), ('wc_5', 0.4), ('wc_1', 0.5), ('wc_6', 0.1)]",0.892,,,20.0,0.013227,['Pass'],Fail,0.5,0.3571428571428571,6.0,7.0,0.5
24.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
24.0,2.0,wc_2,wc_8,0.0,"[('wc_3', 0.2), ('wc_5', 0.4), ('wc_1', 0.5), ('wc_6', 0.1), ('wc_7', 0.5)]",0.892,,,34.0,0.014156000000000002,['Pass'],Fail,0.1,0.1857142857142857,2.0,7.0,0.1
24.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
24.0,2.0,wc_2,wc_9,1.0,"[('wc_9', 0.4), ('wc_3', 0.2), ('wc_5', 0.4), ('wc_1', 0.5), ('wc_6', 0.1), ('wc_7', 0.5)]",0.9352,,,34.0,0.044456,['Pass'],Fail,0.4,0.028571428571428525,3.0,7.0,0.4
26.0,2.0,wc_2,,0.0,,,,263.0,,,,Pass,,,,,
26.0,2.0,wc_2,,0.0,,,52.0,,,,,Pass,,,,,
26.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
26.0,2.0,wc_2,wc_2,0.0,"[('wc_2', 0.2)]",0.19999999999999996,,,24.0,0.002601,['Pass'],Pass,0.2,0.3,2.0,4.0,0.2
26.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
26.0,2.0,wc_2,wc_3,0.0,"[('wc_3', 0.2)]",0.19999999999999996,,,24.0,0.005355,['Fail'],Pass,0.2,0.55,3.0,4.0,0.2
26.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
