production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality,qc_score,score_error,in_winner_counter,in_qc_counter,qc_capability
3.0,1.0,wc_1,,0.0,,,77.0,,,,,Fail,,,,,
3.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
3.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.18)]",0.17999999999999994,,,31.0,0.002091,['Fail'],Fail,0.18,-0.001428571428571418,0.0,0.0,0.1
3.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
3.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.8700000000000007)]",0.8700000000000007,,,35.0,0.005142,['Pass'],Fail,0.8700000000000007,-0.5485714285714292,0.0,0.0,0.9
3.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
3.0,1.0,wc_1,wc_3,0.0,"[('wc_2', 0.8700000000000007)]",0.8700000000000007,,,26.0,0.011921,['Pass'],Fail,0.5400000000000004,-0.36142857142857177,0.0,0.0,0.6
3.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
3.0,1.0,wc_1,wc_4,0.0,"[('wc_2', 0.8700000000000007)]",0.8700000000000007,,,38.0,0.007572,['Pass'],Fail,0.5000000000000003,-0.28571428571428603,0.0,0.0,0.4
3.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
3.0,1.0,wc_1,wc_5,0.0,"[('wc_2', 0.8700000000000007)]",0.8700000000000007,,,26.0,0.013374999999999998,['Pass'],Fail,0.18,-0.07285714285714286,0.0,0.0,0.1
3.0,1.0,wc_1,,0.0,,,,61.0,,,,Fail,,,,,
3.0,1.0,wc_1,wc_6,0.0,"[('wc_6', 0.3900000000000001), ('wc_2', 0.8700000000000007)]",0.9207000000000004,,,21.0,0.013578,['Pass'],Fail,0.3900000000000001,-0.2650000000000001,0.0,0.0,0.3
3.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
3.0,1.0,wc_1,wc_7,1.0,"[('wc_7', 0.9900000000000008), ('wc_1', 0.18), ('wc_3', 0.5400000000000004), ('wc_4', 0.5000000000000003), ('wc_5', 0.18)]",0.9984534800000001,,,34.0,0.050447,['Fail'],Fail,0.9900000000000008,-0.754705882352942,0.0,0.0,0.9
11.0,1.0,wc_1,,0.0,,,,182.0,,,,Fail,,,,,
11.0,1.0,wc_1,,0.0,,,53.0,,,,,Fail,,,,,
11.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
11.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.18)]",0.17999999999999994,,,26.0,0.00243,['Fail'],Fail,0.18,0.8200000000000001,1.0,1.0,0.1
11.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
11.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.8700000000000007), ('wc_1', 0.18)]",0.8934000000000005,,,20.0,0.004139,['Fail'],Fail,0.8700000000000007,-0.8700000000000007,0.0,1.0,0.9
11.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
11.0,1.0,wc_1,wc_3,1.0,"[('wc_3', 0.5400000000000004), ('wc_1', 0.18), ('wc_2', 0.8700000000000007)]",0.9509640000000003,,,28.0,0.04958799999999999,['Fail'],Fail,0.5400000000000004,0.45999999999999963,2.0,2.0,0.6
19.0,1.0,wc_1,,0.0,,,,81.0,,,,Pass,,,,,
19.0,1.0,wc_1,,0.0,,,64.0,,,,,Pass,,,,,
19.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
19.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.18)]",0.17999999999999994,,,39.0,0.002351,['Pass'],Pass,0.18,0.8200000000000001,2.0,2.0,0.1
19.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
19.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.8700000000000007), ('wc_1', 0.18)]",0.8934000000000005,,,34.0,0.005536,['Pass'],Pass,0.8700000000000007,-0.37000000000000066,1.0,2.0,0.9
19.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
19.0,1.0,wc_1,wc_3,1.0,"[('wc_3', 0.5400000000000004), ('wc_1', 0.18), ('wc_2', 0.8700000000000007)]",0.9509640000000003,,,26.0,0.043609,['Pass'],Pass,0.5400000000000004,0.45999999999999963,3.0,3.0,0.6
23.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
23.0,3.0,wc_3,,0.0,,,58.0,,,,,Fail,,,,,
23.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
23.0,3.0,wc_3,wc_3,0.0,"[('wc_3', 0.5400000000000004)]",0.5400000000000004,,,23.0,0.002424,['Fail'],Fail,0.5400000000000004,0.45999999999999963,3.0,3.0,0.6
23.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
23.0,3.0,wc_3,wc_4,0.0,"[('wc_4', 0.5000000000000003), ('wc_3', 0.5400000000000004)]",0.7700000000000004,,,36.0,0.0044399999999999995,['Fail'],Fail,0.5000000000000003,-0.16666666666666702,1.0,3.0,0.4
23.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
23.0,3.0,wc_3,wc_5,0.0,"[('wc_5', 0.18), ('wc_3', 0.5400000000000004), ('wc_4', 0.5000000000000003)]",0.8114000000000003,,,37.0,0.01275,['Fail'],Fail,0.18,0.15333333333333332,1.0,3.0,0.1
23.0,3.0,wc_3,,0.0,,,,41.0,,,,Fail,,,,,
23.0,3.0,wc_3,wc_1,0.0,"[('wc_3', 0.5400000000000004), ('wc_4', 0.5000000000000003), ('wc_5', 0.18)]",0.8114000000000002,,,32.0,0.007654,['Fail'],Fail,0.18,0.8200000000000001,3.0,3.0,0.1
23.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
23.0,3.0,wc_3,wc_2,1.0,"[('wc_2', 0.8700000000000007), ('wc_3', 0.5400000000000004), ('wc_4', 0.5000000000000003), ('wc_5', 0.18)]",0.9754820000000002,,,28.0,0.040826999999999995,['Fail'],Fail,0.8700000000000007,-0.12000000000000066,3.0,4.0,0.9
28.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
28.0,3.0,wc_3,,0.0,,,66.0,,,,,Fail,,,,,
28.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
28.0,3.0,wc_3,wc_3,0.0,"[('wc_3', 0.5400000000000004)]",0.5400000000000004,,,30.0,0.002379,['Fail'],Fail,0.5400000000000004,0.45999999999999963,4.0,4.0,0.6
28.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
28.0,3.0,wc_3,wc_4,0.0,"[('wc_3', 0.5400000000000004)]",0.5400000000000004,,,25.0,0.0049110000000000004,['Fail'],Fail,0.5000000000000003,-3.3306690738754696e-16,2.0,4.0,0.4
28.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
28.0,3.0,wc_3,wc_5,0.0,"[('wc_5', 0.18), ('wc_3', 0.5400000000000004)]",0.6228000000000002,,,36.0,0.0056,['Fail'],Fail,0.18,0.32,2.0,4.0,0.1
28.0,3.0,wc_3,,0.0,,,,41.0,,,,Fail,,,,,
28.0,3.0,wc_3,wc_1,0.0,"[('wc_1', 0.18), ('wc_3', 0.5400000000000004), ('wc_5', 0.18)]",0.6906960000000002,,,27.0,0.010939999999999998,['Fail'],Fail,0.18,0.5700000000000001,3.0,4.0,0.1
28.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
28.0,3.0,wc_3,wc_2,1.0,"[('wc_2', 0.8700000000000007), ('wc_3', 0.5400000000000004), ('wc_5', 0.18), ('wc_1', 0.18)]",0.9597904800000002,,,20.0,0.044176999999999994,['Fail'],Fail,0.8700000000000007,-0.07000000000000062,4.0,5.0,0.9
32.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
32.0,3.0,wc_3,,0.0,,,59.0,,,,,Fail,,,,,
32.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
32.0,3.0,wc_3,wc_3,0.0,"[('wc_3', 0.5400000000000004)]",0.5400000000000004,,,36.0,0.004475,['Fail'],Fail,0.5400000000000004,0.45999999999999963,5.0,5.0,0.6
32.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
32.0,3.0,wc_3,wc_4,0.0,"[('wc_4', 0.5000000000000003), ('wc_3', 0.5400000000000004)]",0.7700000000000004,,,32.0,0.004087,['Fail'],Fail,0.5000000000000003,-0.10000000000000031,2.0,5.0,0.4
32.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
32.0,3.0,wc_3,wc_5,0.0,"[('wc_3', 0.5400000000000004), ('wc_4', 0.5000000000000003)]",0.7700000000000004,,,29.0,0.006139,['Fail'],Fail,0.18,0.42,3.0,5.0,0.1
32.0,3.0,wc_3,,0.0,,,,41.0,,,,Fail,,,,,
32.0,3.0,wc_3,wc_1,0.0,"[('wc_1', 0.18), ('wc_3', 0.5400000000000004), ('wc_4', 0.5000000000000003)]",0.8114000000000003,,,24.0,0.0075250000000000004,['Fail'],Fail,0.18,0.6200000000000001,4.0,5.0,0.1
32.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
32.0,3.0,wc_3,wc_2,1.0,"[('wc_2', 0.8700000000000007), ('wc_3', 0.5400000000000004), ('wc_4', 0.5000000000000003), ('wc_1', 0.18)]",0.9754820000000002,,,28.0,0.06139,['Fail'],Fail,0.8700000000000007,-0.03666666666666729,5.0,6.0,0.9
37.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
