time_step,workpiece_id,step_idx,production_workcell,actual_quality,state,qc,consent,winner_qc_list,score,qc_results,production_time,transport_time,inspection_time,network_time,in_winner_counter,in_qc_counter,score_error,qc_score,qc_capability
1.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
2.0,wp_1,1.0,wc_1,"{'Pass': 11, 'Fail': 89}",['Fail'],,,,,,61.0,,,,,,,,
64.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
64.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
65.0,wp_1,1.0,,,,wc_1,0.0,"[('wc_1', 0.53)]",0.53,['Fail'],,,40.0,0.002366,0.0,0.0,-0.53,0.53,0.4
106.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
107.0,wp_1,1.0,,,,wc_2,0.0,"[('wc_2', 0.7), ('wc_1', 0.53)]",0.859,['Fail'],,,38.0,0.0046029999999999995,0.0,0.0,-0.7,0.7,0.8
146.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
105.0,wp_2,1.0,wc_1,"{'Pass': 72, 'Fail': 28}",['Pass'],,,,,,64.0,,,,,,,,
170.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
170.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
147.0,wp_1,1.0,,,,wc_3,0.0,"[('wc_1', 0.53), ('wc_2', 0.7)]",0.859,['Fail'],,,29.0,0.0065580000000000005,0.0,0.0,-0.39,0.39,0.3
177.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
171.0,wp_2,1.0,,,,wc_1,0.0,"[('wc_1', 0.53)]",0.53,['Pass'],,,25.0,0.002562,0.0,0.0,-0.53,0.53,0.4
197.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
178.0,wp_1,1.0,,,,wc_4,1.0,"[('wc_4', 0.48), ('wc_1', 0.53), ('wc_2', 0.7)]",0.92668,['Fail'],,,39.0,0.04820400000000001,1.0,1.0,0.52,0.48,0.4
198.0,wp_2,1.0,,,,wc_2,0.0,"[('wc_2', 0.7), ('wc_1', 0.53)]",0.859,['Pass'],,,27.0,0.004853,1.0,1.0,0.30000000000000004,0.7,0.8
226.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
227.0,wp_2,1.0,,,,wc_3,1.0,"[('wc_3', 0.39), ('wc_1', 0.53), ('wc_2', 0.7)]",0.91399,['Pass'],,,20.0,0.037606,1.0,2.0,0.10999999999999999,0.39,0.3
249.0,wp_2,3.0,,,,,,,,,,0.0,,,,,,,
196.0,wp_3,1.0,wc_1,"{'Pass': 86, 'Fail': 14}",['Pass'],,,,,,77.0,,,,,,,,
274.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
274.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
275.0,wp_3,1.0,,,,wc_1,0.0,"[('wc_1', 0.53)]",0.53,['Fail'],,,33.0,0.002433,2.0,2.0,0.47,0.53,0.4
309.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
250.0,wp_2,3.0,wc_3,"{'Pass': 5, 'Fail': 95}",['Fail'],,,,,,66.0,,,,,,,,
317.0,wp_2,3.0,,,,,,,,,,0.0,,,,,,,
310.0,wp_3,1.0,,,,wc_2,0.0,"[('wc_2', 0.7)]",0.7,['Pass'],,,26.0,0.005996,2.0,2.0,0.30000000000000004,0.7,0.8
337.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
318.0,wp_2,3.0,,,,wc_3,0.0,"[('wc_3', 0.39)]",0.39,['Fail'],,,25.0,0.004857,1.0,2.0,0.10999999999999999,0.39,0.3
344.0,wp_2,3.0,,,,,,,,,,0.0,,,,,,,
308.0,wp_4,1.0,wc_1,"{'Pass': 28, 'Fail': 72}",['Fail'],,,,,,60.0,,,,,,,,
338.0,wp_3,1.0,,,,wc_4,0.0,"[('wc_4', 0.48), ('wc_2', 0.7)]",0.844,['Pass'],,,31.0,0.007726,1.0,2.0,0.020000000000000018,0.48,0.4
369.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
369.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
