production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality,qc_score,score_error,in_winner_counter,in_qc_counter,qc_capability
6.0,1.0,wc_1,,0.0,,,68.0,,,,,Fail,,,,,
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
6.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.5300000000000004)]",0.5300000000000004,,,25.0,0.004074,['Pass'],Fail,0.5300000000000004,-0.4654838709677423,0.0,0.0,0.4
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
6.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.7000000000000005)]",0.7000000000000005,,,29.0,0.0041519999999999994,['Fail'],Fail,0.7000000000000005,-0.5709677419354844,0.0,0.0,0.8
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
6.0,1.0,wc_1,wc_3,0.0,"[('wc_3', 0.3900000000000001), ('wc_2', 0.7000000000000005)]",0.8170000000000004,,,22.0,0.009118000000000001,['Fail'],Fail,0.3900000000000001,-0.3233333333333335,0.0,0.0,0.3
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
6.0,1.0,wc_1,wc_4,1.0,"[('wc_4', 0.4800000000000003), ('wc_2', 0.7000000000000005), ('wc_3', 0.3900000000000001)]",0.9048400000000002,,,23.0,0.039245999999999996,['Fail'],Fail,0.4800000000000003,-0.4487500000000003,0.0,0.0,0.4
15.0,1.0,wc_1,,0.0,,,,61.0,,,,Fail,,,,,
15.0,1.0,wc_1,,0.0,,,51.0,,,,,Fail,,,,,
15.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
15.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.5300000000000004)]",0.5300000000000004,,,21.0,0.002221,['Pass'],Fail,0.5300000000000004,-0.5300000000000004,0.0,1.0,0.4
15.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
15.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.7000000000000005)]",0.7000000000000005,,,24.0,0.0037660000000000003,['Fail'],Fail,0.7000000000000005,0.2999999999999995,1.0,1.0,0.8
15.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
15.0,1.0,wc_1,wc_3,0.0,"[('wc_3', 0.3900000000000001), ('wc_1', 0.5300000000000004)]",0.7133000000000003,,,30.0,0.010338,['Pass'],Fail,0.3900000000000001,0.6099999999999999,1.0,1.0,0.3
15.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
15.0,1.0,wc_1,wc_4,0.0,"[('wc_4', 0.4800000000000003), ('wc_2', 0.7000000000000005)]",0.8440000000000003,,,23.0,0.007965999999999999,['Fail'],Fail,0.4800000000000003,-0.4800000000000003,0.0,0.0,0.4
15.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
15.0,1.0,wc_1,wc_5,1.0,"[('wc_5', 0.7700000000000006), ('wc_2', 0.7000000000000005), ('wc_4', 0.4800000000000003)]",0.9641200000000002,,,21.0,0.05158900000000001,['Fail'],Fail,0.7700000000000006,-0.6762500000000006,0.0,0.0,0.8
21.0,1.0,wc_1,,0.0,,,,41.0,,,,Fail,,,,,
21.0,1.0,wc_1,,0.0,,,52.0,,,,,Fail,,,,,
21.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
21.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.5300000000000004)]",0.5300000000000004,,,25.0,0.002775,['Fail'],Fail,0.5300000000000004,-0.5300000000000004,0.0,2.0,0.4
21.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
21.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.7000000000000005), ('wc_1', 0.5300000000000004)]",0.8590000000000003,,,40.0,0.007121000000000001,['Fail'],Fail,0.7000000000000005,0.2999999999999995,2.0,2.0,0.8
21.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
21.0,1.0,wc_1,wc_3,0.0,"[('wc_1', 0.5300000000000004), ('wc_2', 0.7000000000000005)]",0.8590000000000003,,,38.0,0.005705,['Fail'],Fail,0.3900000000000001,0.10999999999999988,1.0,2.0,0.3
21.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
21.0,1.0,wc_1,wc_4,1.0,"[('wc_4', 0.4800000000000003), ('wc_1', 0.5300000000000004), ('wc_2', 0.7000000000000005)]",0.9266800000000002,,,34.0,0.051603,['Fail'],Fail,0.4800000000000003,0.5199999999999997,2.0,2.0,0.4
26.0,1.0,wc_1,,0.0,,,,61.0,,,,Fail,,,,,
26.0,1.0,wc_1,,0.0,,,70.0,,,,,Fail,,,,,
26.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
26.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.5300000000000004)]",0.5300000000000004,,,30.0,0.002313,['Fail'],Fail,0.5300000000000004,-0.19666666666666704,1.0,3.0,0.4
26.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
26.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.7000000000000005), ('wc_1', 0.5300000000000004)]",0.8590000000000003,,,34.0,0.004752,['Fail'],Fail,0.7000000000000005,0.2999999999999995,3.0,3.0,0.8
26.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail,,,,,
26.0,1.0,wc_1,wc_3,1.0,"[('wc_3', 0.3900000000000001), ('wc_1', 0.5300000000000004), ('wc_2', 0.7000000000000005)]",0.9139900000000002,,,33.0,0.037739,['Fail'],Fail,0.3900000000000001,0.10999999999999988,2.0,4.0,0.3
29.0,1.0,wc_1,,0.0,,,,81.0,,,,Pass,,,,,
29.0,1.0,wc_1,,0.0,,,53.0,,,,,Pass,,,,,
29.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
29.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.5300000000000004)]",0.5300000000000004,,,39.0,0.002257,['Fail'],Pass,0.5300000000000004,-0.03000000000000036,2.0,4.0,0.4
29.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
29.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.7000000000000005)]",0.7000000000000005,,,32.0,0.017678,['Pass'],Pass,0.7000000000000005,0.2999999999999995,4.0,4.0,0.8
29.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
29.0,1.0,wc_1,wc_3,0.0,"[('wc_3', 0.3900000000000001), ('wc_2', 0.7000000000000005)]",0.8170000000000004,,,40.0,0.007749000000000001,['Pass'],Pass,0.3900000000000001,0.10999999999999988,2.0,4.0,0.3
29.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
29.0,1.0,wc_1,wc_4,1.0,"[('wc_4', 0.4800000000000003), ('wc_2', 0.7000000000000005), ('wc_3', 0.3900000000000001)]",0.9048400000000002,,,21.0,0.047653,['Pass'],Pass,0.4800000000000003,0.2699999999999997,3.0,4.0,0.4
33.0,2.0,wc_2,,0.0,,,,81.0,,,,Pass,,,,,
33.0,2.0,wc_2,,0.0,,,63.0,,,,,Pass,,,,,
33.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
33.0,2.0,wc_2,wc_2,0.0,"[('wc_2', 0.7000000000000005)]",0.7000000000000005,,,28.0,0.00406,['Pass'],Pass,0.7000000000000005,0.2999999999999995,5.0,5.0,0.8
33.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
33.0,2.0,wc_2,wc_3,0.0,"[('wc_3', 0.3900000000000001), ('wc_2', 0.7000000000000005)]",0.8170000000000004,,,36.0,0.00418,['Pass'],Pass,0.3900000000000001,0.20999999999999985,3.0,5.0,0.3
33.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
33.0,2.0,wc_2,wc_4,0.0,"[('wc_2', 0.7000000000000005), ('wc_3', 0.3900000000000001)]",0.8170000000000004,,,39.0,0.01704,['Pass'],Pass,0.4800000000000003,0.2699999999999997,3.0,4.0,0.4
33.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
